nombre	domicilio	departamento	localidad	codpos	cuidad	referente	tel	com_gestion	com_gestion_firmante	fecha_comp_ges	fecha_fin_comp_ges	com_gestion_pago_indirecto	tercero_admin	tercero_admin_firmante	fecha_tercero_admin	fecha_fin_tercero_admin	cuie	usuario	fecha_modificacion	dni_firmante_actual	com_gestion_firmante_actual	n_2008	n_2009	id_nomenclador_detalle	id_zona_sani	mail	padre
HOSPITAL DE  CORPUS - NIVEL I	AV. CURUPAYTI - MANZANA 69	098	020	3327	CORPUS	DRA. VAZQUEZ TERESITA ITATI	03752-495044             	VERDADERO 	TERESITA ITATÍ VÁZQUEZ	2005-09-01	2011-12-31	FALSO     					N05183				TERESITA ITATÍ VÁZQUEZ			10	8	                                        	
CAPS PUERTO CONCEPCIÓN	PUERTO BARRA CONCEPCIÓN	035	020	3355	CONCEPCION DE LA SIERRA	DANIEL EDUARDO BOGADO	                         	VERDADERO 	DANIEL EDUARDO BOGADO	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05184				DANIEL EDUARDO BOGADO			10	7	                                        	
CAPS SAN ISIDRO	SAN ISIDRO	035	020	3355	CONCEPCION DE LA SIERRA	DANIEL EDUARDO BOGADO		VERDADERO 	DANIEL EDUARDO BOGADO	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05185				DANIEL EDUARDO BOGADO			10	7	                                        	
POSTA SANITARIA OJO DE AGUA (MANGA DE PIEDRA)		035	020	3355	CONCEPCION DE LA SIERRA			FALSO     				FALSO     					N05186							10	7	                                        	
CAPS SANTA MARÍA	SANTA MARÍA	035	040	3355	SANTA MARIA	CARMEN GRISELDA VALLEJOS	03758-470338             	VERDADERO 	CARMEN GRISELDA VALLEJOS	2006-07-01	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRIGUEZ	2008-03-26	2009-12-31	N05187				CARMEN GRISELDA VALLEJOS			10	7	                                        	
CAPS SAN JUAN DE LA SIERRA	SAN JUAN DE LA SIERRA	035	040	3355	SANTA MARIA	CARMEN GRISELDA VALLEJOS	                         	VERDADERO 	CARMEN GRISELDA VALLEJOS	2006-07-01	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRIGUEZ	2008-03-26	2009-12-31	N05188				CARMEN GRISELDA VALLEJOS			10	7	                                        	
POSTA SANITARIA CAÁ GUAZÚ	SANTA MARÍA	035	040	3355	SANTA MARIA	DRA. CARMEN VALLEJOS		VERDADERO 	DRA. CARMEN VALLEJOS	2008-05-27	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRÍGUEZ	2008-03-26	2009-12-31	N05189				DRA. CARMEN VALLEJOS			10	7	                                        	
POSTA SANITARIA CASCABEL		035	040	3355	SANTA MARIA			FALSO     				FALSO     					N05190							10	7	                                        	
POSTA SANITARIA LA CORITA	X	035	040	3355	SANTA MARIA	CARMEN GRISELDA VALLEJOS	                         	VERDADERO 	CARMEN GRISELDA VALLEJOS	2008-05-27	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRIGUEZ	2008-03-26	2009-12-31	N05191				CARMEN GRISELDA VALLEJOS			10	7	                                        	
CAPS Nº 01 APÓSTOLES	ALVEAR 66	007	010	3350	APOSTOLES	JOSÉ ANTONIO GONZÁLEZ	03758 15454484           	VERDADERO 	JOSÉ ANTONIO GONZÁLEZ	2006-11-01	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRIGUEZ	2008-03-26	2009-12-31	N05192				JOSÉ ANTONIO GONZÁLEZ			10	7	                                        	
PUESTO S. ESTACION APÓSTOLES	WALTER KILMER	007	010	3350	APOSTOLES	JOSÉ ANTONIO GONZÁLEZ	                         	VERDADERO 	JOSÉ ANTONIO GONZÁLEZ	2007-09-24	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRIGUEZ	2008-03-26	2009-12-31	N05193				JOSÉ ANTONIO GONZÁLEZ			10	7	                                        	
CAPS SANTA BARBARA	SAN LUIS S/N	007	010	3350	APOSTOLES	JOSÉ ANTONIO GONZÁLEZ	                         	VERDADERO 	JOSÉ ANTONIO GONZÁLEZ	2007-09-24	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRIGUEZ	2008-03-26	2009-12-31	N05194				JOSÉ ANTONIO GONZÁLEZ			10	7	                                        	
CAPS BARRIO 25 DE MARZO	LAS AZALEAS Y AV. SAN MARTIN	007	010	3350	APOSTOLES	JUAN ANTONIO ZANON YUDAR	                         	VERDADERO 	JUAN ANTONIO ZANON YUDAR	2006-07-01	2011-12-31	FALSO     					N05195				JUAN ANTONIO ZANON YUDAR			10	7	                                        	
A.P.S. APÓSTOLES	APÓSTOLES	007	010	3350	APOSTOLES			FALSO     				FALSO     					N05196							10	7	                                        	
POSTA SANIT. ESCUELA 638		007	010	3350	APOSTOLES			FALSO     				FALSO     					N05197							10	7	                                        	
CAPS LAS TUNAS	LAS TUNAS	007	070	3353	TRES CAPONES	DR. HUMBERTO YACOVICH	                         	VERDADERO 	HUMBERTO ANDRÉS YACOVICH	2006-12-28	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRIGUEZ	2008-03-26	2009-12-31	N05198				HUMBERTO ANDRÉS YACOVICH			10	7	                                        	
PUESTO S. CENTINELA	CENTINELA	007	060	3306	SAN JOSE	DRA. CARMEN JOSEFA KRUK		FALSO     				FALSO     					N05199							10	7	                                        	
CAPS PINDAPOY	Bº PINDAPOY	007	060	3306	SAN JOSE	MIRTHA GRACIELA MAIDANA	                         	VERDADERO 	MIRTHA GRACIELA MAIDANA	2006-07-01	2011-12-31	VERDADERO 	N05162	MIRTHA GRACIELA MAIDANA	2006-07-01	2009-12-31	N05200				MIRTHA GRACIELA MAIDANA			10	7	                                        	
CAPS PUERTO AZARA	PUERTO AZARA	007	020	3351	AZARA	MARCELA GONZÁLEZ DE YACOVICH	                         	VERDADERO 	MARCELA GONZÁLEZ DE YACOVICH	2006-07-01	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRIGUEZ	2008-03-26	2009-12-31	N05201				MARCELA GONZÁLEZ DE YACOVICH			10	7	                                        	
CAPS TRES CAPONES	TRES CAPONES	007	070	3353	TRES CAPONES	MARCELA GONZÁLEZ DE YACOVICH	                         	FALSO     	HUMBERTO ANDRÉS YACOVICH	2006-07-01	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRIGUEZ	2008-03-26	2009-12-31	N05202				HUMBERTO ANDRÉS YACOVICH			10	7	                                        	
PUESTO DE SALUD EL TIMBÓ		007	010	3350	APOSTOLES			FALSO     				FALSO     					N05203							10	7	                                        	
PUESTO DE SALUD BARRIO IRIGOYEN		007	010	3350	APOSTOLES			FALSO     				FALSO     					N05204							10	7	                                        	
CAPS BARRIO RURAL	BARRIO RURAL	007	010	3350	APOSTOLES	JOSÉ ANTONIO GONZÁLEZ	                         	VERDADERO 	JOSÉ ANTONIO GONZÁLEZ	2007-09-24	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRIGUEZ	2008-03-26	2009-12-31	N05205				JOSÉ ANTONIO GONZÁLEZ			10	7	                                        	
CAPS Nº 1 - SAN CAYETANO	CANDELARIA	021	020	3308	CANDELARIA	RAQUEL AMIEL	                         	VERDADERO 	RAQUEL AMIEL	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05206				RAQUEL AMIEL			10	8	                                        	
PUESTO DE S. PROFUNDIDAD	PROFUNDIDAD	021	060	3308	PROFUNDIDAD	RAQUEL AMIEL	                         	VERDADERO 	RAQUEL AMIEL	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05207				RAQUEL AMIEL			10	8	                                        	
CAPS. TACUARUZÚ	PROFUNDIDAD	021	060	3308	PROFUNDIDAD	RAQUEL AMIEL	                         	VERDADERO 	RAQUEL AMIEL	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05208				RAQUEL AMIEL			10	8	                                        	
CAPS CERRO CORA	AV. SAN MARTIN S/N	021	030	3309	CERRO CORA	RAQUEL AMIEL	                         	VERDADERO 	RAQUEL AMIEL	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05209				RAQUEL AMIEL			10	8	                                        	
CAPS BELLA VISTA	BELLA VISTA	021	030	3309	CERRO CORA	DR. CLAUDIO FERNANDO SOLIS		VERDADERO 	CLAUDIO FERNANDO SOLÍS	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05210				CLAUDIO FERNANDO SOLÍS			10	8	                                        	
CAPS MARTIRES	PERON S/N RUTA 103	021	050	s/n	MARTIRES	JUAN VERÓN	                         	VERDADERO 	JUAN VERÓN	2006-12-01	2011-12-31	VERDADERO 	N95728	HÉCTOR PROEZA	2008-03-26	2009-12-31	N05211				JUAN VERÓN			10	9	                                        	
PUESTO DE SALUD FACHINAL	RUTA 204	028	033	3304	FACHINAL	RAQUEL AMIEL	                         	VERDADERO 	RAQUEL AMIEL	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05212				RAQUEL AMIEL			10	8	                                        	
PUESTO DE S. PTO. SANTA ANA	PUERTO SANTA ANA LOTE 33	021	080	3316	SANTA ANA	ESPERANZA RISKI	                         	VERDADERO 	DRA. ESPERANZA RISKI	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05213				DRA. ESPERANZA RISKI			10	8	                                        	
CAPS LORETO	LOTE 39	021	040	3316	LORETO	DR. CLAUDIO ONTIVERO	03752-470190             	VERDADERO 	ROBERTO CLAUDIO ONTIVERO	2007-05-14	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05214				ROBERTO CLAUDIO ONTIVERO			10	8	                                        	
CAPS PJE. CAMPIÑAS	PARAJE CAMPIÑAS	021	010	3317	BOMPLAND	DR. DANIEL OSVALDO CÁCERES		FALSO     				FALSO     					N05215							10	7	                                        	
CAPS DOMINGO SAVIO	COLONIA DOMINGO SAVIO ZONA RURAL	098	110	3322	SAN IGNACIO	DR. OSVALDO CABRERA	03752-470468             	VERDADERO 	OSVALDO RUBÉN CABRERA	2006-07-01	2011-12-31	VERDADERO 	N05165	OSVALDO RUBÉN CABRERA	2006-07-01	2009-12-31	N05216				OSVALDO RUBÉN CABRERA			10	8	                                        	
CAPS. COLONIA ISOLINA	COLONIA ISOLINA ZONA RURAL	098	110	3322	SAN IGNACIO	DR. OSVALDO CABRERA	03752-470468             	VERDADERO 	OSVALDO RUBÉN CABRERA	2006-07-01	2011-12-31	VERDADERO 	N05165	OSVALDO RUBÉN CABRERA	2006-07-01	2009-12-31	N05217				OSVALDO RUBÉN CABRERA			10	8	                                        	
CAPS VILLA EMA	VILLA EMA	098	110	3322	SAN IGNACIO	DR. OSVALDO CABRERA	                         	VERDADERO 	OSVALDO RUBÉN CABRERA	2006-07-01	2011-12-31	VERDADERO 	N05165	OSVALDO RUBÉN CABRERA	2000-07-06	2009-12-31	N05218				OSVALDO RUBÉN CABRERA			10	8	                                        	
POSTA SANIT. KATU PIRÍ		098	110	3322	SAN IGNACIO			FALSO     				FALSO     					N05219							10	8	                                        	
POSTA SANIT. ANDRESITO	ANDRESITO	098	110	3322	SAN IGNACIO	DR. OSVALDO CABRERA		VERDADERO 	OSVALDO RUBÉN CABRERA	2006-07-01	2011-12-31	VERDADERO 	N05165	OSVALDO RUBÉN CABRERA	2006-07-01	2009-12-31	N05220				OSVALDO RUBÉN CABRERA			10	8	                                        	
POSTA SANIT. ÑÚ PORÁ		098	110	3322	SAN IGNACIO			FALSO     				FALSO     					N05221							10	8	                                        	
POSTA SANIT. POTY		098	110	3322	SAN IGNACIO			FALSO     				FALSO     					N05222							10	8	                                        	
CAPS OASIS	COLONIA OASIS	098	080	3328	JARDIN AMERICA	LUIS EDGARDO CAÑETE	                         	VERDADERO 	LUIS EDGARDO CAÑETE	2006-07-01	2011-12-31	VERDADERO 	N95737	MIRTA ANGÉLICA RIVERO	2008-12-15	2009-12-31	N05223				LUIS EDGARDO CAÑETE			10	8	                                        	
CAPS COLONIA PRIMAVERA	COLONIA PRIMAVERA	098	080	3328	JARDIN AMERICA	LUIS EDGARDO CAÑETE	                         	VERDADERO 	LUIS EDGARDO CAÑETE	2008-12-15	2011-12-31	VERDADERO 	N95737	MIRTA ANGÉLICA RIVERO	2008-12-15	2009-12-31	N05224				LUIS EDGARDO CAÑETE			10	8	                                        	
CAPS BARRIO CANTERA	Bº CANTERA	098	080	3328	JARDIN AMERICA	FRANZ MENDOZA UGARTE	                         	VERDADERO 	FRANZ MENDOZA UGARTE	2006-07-01	2011-12-31	VERDADERO 	N95737	MIRTA ANGÉLICA RIVERO	2008-12-15	2009-12-31	N05225				FRANZ MENDOZA UGARTE			10	8	                                        	
CAPS LOS TEALES	LOS TEALES	098	080	3328	JARDIN AMERICA	LUIS EDGARDO CAÑETE	                         	VERDADERO 	LUIS EDGARDO CAÑETE	2006-07-01	2011-12-31	VERDADERO 	N95737	MIRTA ANGÉLICA RIVERO	2008-12-15	2009-12-31	N05226				LUIS EDGARDO CAÑETE			10	8	                                        	
CAPS BARRIO 162 VIVIENDAS	BARRIO 162 VIVIENDAS JOSE RIVERA S/N	098	080	3328	JARDIN AMERICA	ELINA FELTAN	                         	VERDADERO 	ELINA FELTAN	2006-11-14	2011-12-31	VERDADERO 	N95737	MIRTA ANGÉLICA RIVERO	2008-12-15	2009-12-31	N05227				ELINA FELTAN			10	8	                                        	
POSTA SANIT. YVY PYTÁ		098	080	3328	JARDIN AMERICA			FALSO     				FALSO     					N05228							10	8	                                        	
POSTA SANIT. CAÁ CUPÉ	CAA CUPE	077	070	3334	RUIZ DE MONTOYA	ADRIÁN SALDÍAS		VERDADERO 	ADRIÁN SALDÍAS	2007-10-26	2011-12-31	VERDADERO 		DORA RÍOS	2008-07-11	2009-12-31	N05229				ADRIÁN SALDÍAS			10	8	                                        	
POSTA SANIT. LEONI-TABAY	PUERTO LEONI	098	080	3328	JARDIN AMERICA	ALBERTO ALFONSO		VERDADERO 	ALBERTO ALFONSO	2006-07-01	2011-12-31	VERDADERO 	N95737	MIRTA ANGÉLICA RIVERO	2008-12-15	2009-12-31	N05230				ALBERTO ALFONSO			10	8	                                        	
POSTA SANIT. SAPUCAY		098	080	3328	JARDIN AMERICA			FALSO     				FALSO     					N05231							10	8	                                        	
CAPS SANTA TERESITA		098	080	3328	JARDIN AMERICA			FALSO     				FALSO     					N05232							10	8	                                        	
POSTA SANITARIA PROSOL (CAPS Nº 2)	BARRIO PROSOL	098	080	3328	JARDIN AMERICA	ELINA FELTAN	                         	VERDADERO 	ELINA FELTAN	2006-07-01	2011-12-31	VERDADERO 	N95737	MIRTA ANGÉLICA RIVERO	2008-12-15	2009-12-31	N05234				ELINA FELTAN			10	8	                                        	
CAPS COLONIA GISELA	COLONIA GISELA	098	010	3326	COLONIA POLANA	ROBERTO CLAUDIO ONTIVERO	                         	VERDADERO 	ROBERTO CLAUDIO ONTIVERO	2006-07-01	2011-12-31	VERDADERO 	N95737	MIRTA ANGÉLICA RIVERO	2008-12-15	2009-12-31	N05235				ROBERTO CLAUDIO ONTIVERO			10	8	                                        	
POSTA SANIT. ESCUELA 643		098	080	3328	JARDIN AMERICA			FALSO     				FALSO     					N05236							10	8	                                        	
PUESTO DE SALUD COLONIA POLANA	COLONIA POLANA	098	010	3326	COLONIA POLANA	ROBERTO CLAUDIO ONTIVERO	                         	VERDADERO 	ROBERTO CLAUDIO ONTIVERO	2006-07-01	2011-12-31	VERDADERO 	N95737	MIRTA ANGÉLICA RIVERO	2008-12-15	2009-12-31	N05237				ROBERTO CLAUDIO ONTIVERO			10	8	                                        	
CAPS GRAL URQUIZA	GENERAL URQUIZA	098	040	s/n	GRAL URQUIZA	EDUARDO GUILLERMO CHAVEZ		VERDADERO 	EDUARDO GUILLERMO CHAVEZ	2006-07-01	2011-12-31	VERDADERO 	N95737	MIRTA ANGÉLICA RIVERO	2008-12-15	2009-12-31	N05238				EDUARDO GUILLERMO CHAVEZ			10	8	                                        	
PUESTO DE S. YRIGOYEN	HIPÓLITO YRIGOYEN	098	070	3328	HIPOLITO YRIGOYEN	IRMA GONZÁLEZ		VERDADERO 	IRMA GONZÁLEZ	2006-07-01	2011-12-31	VERDADERO 	N95737	MIRTA ANGÉLICA RIVERO	2008-12-15	2009-12-31	N05239				IRMA GONZÁLEZ			10	8	                                        	
POSTA SANIT. MARANGATÚ		077	050	3332	PUERTO LEONI			FALSO     				FALSO     					N05240							10	8	                                        	
CAPS NUEVA SUIZA	JARDÍN AMÉRICA	098	110	3322	SAN IGNACIO	LUIS EDGARDO CAÑETE		VERDADERO 	LUIS EDGARDO CAÑETE	2008-12-15	2011-12-31	VERDADERO 	N95737	MIRTA ANGÉLICA RIVERO	2008-12-15	2009-12-31	N05241				LUIS EDGARDO CAÑETE			10	8	                                        	
PUESTO DE S. YACUTINGA		098	050	3324	GOBERNADOR ROCA			FALSO     		2006-07-01	2008-12-31	FALSO     					N05242							10	8	                                        	
POSTA SANIT. EL CHAPÁ	EL CHAPÁ	098	050	3324	GOBERNADOR ROCA	DR. PÉREZ		FALSO     				FALSO     					N05243							10	8	                                        	
PUESTO DE S. YACUTINGA	RUTA PROVINCIAL 6 KM 14	098	050	3324	GOBERNADOR ROCA	MARÍA CRISTINA LÓPEZ DE TUZINKIEWICZ	                         	VERDADERO 	MARÍA CRISTINA LÓPEZ DE TUZINKIEWICZ	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05244				MARÍA CRISTINA LÓPEZ DE TUZINKIEWICZ			10	8	                                        	
CAPS EL BONITO	RUTA 6 EL BONITO	098	120	3326	SANTO PIPO		                         	FALSO     				FALSO     					N05245							10	8	                                        	
CAPS TACUARA	RUTA 6 COLONIA TACUARA	098	120	3326	SANTO PIPO		                         	FALSO     				FALSO     					N05246							10	8	                                        	
PUESTO S. ORO VERDE	ORO VERDE	077	060	3334	PUERTO RICO	FERNÁNDO LÓPEZ	                         	VERDADERO 	FERNÁNDO LÓPEZ	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05247				FERNÁNDO LÓPEZ			10	8	                                        	
CAPS SAN ALBERTO	COLONIA SAN ALBERTO	077	060	3334	PUERTO RICO	FERNÁNDO LÓPEZ	                         	VERDADERO 	FERNÁNDO LÓPEZ	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05248				FERNÁNDO LÓPEZ			10	8	                                        	
POSTA SANIT. ALDEA POTY		077	070	3334	RUIZ DE MONTOYA			FALSO     				FALSO     					N05249							10	8	                                        	
POSTA SANIT. TAMANDUÁ	TAMANDUÁ	077	070	3334	RUIZ DE MONTOYA	DR. SERGIO LÓPEZ ATRIO		FALSO     				FALSO     					N05250							10	8	                                        	
CAPS. BELLO HORIZONTE	RUTA 7	077	070	3334	RUIZ DE MONTOYA	DR. VIDAL MANUEL	03743-495171             	VERDADERO 	MANUEL VIDAL	2007-10-26	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05251				MANUEL VIDAL			10	8	                                        	
CAPS EL POCITO	AV. RIEDMAIER S/N	077	010	3332	CAPIOVI	DR. LÓPEZ VIDAL DIONISIO	                         	VERDADERO 	DIONISIO LÓPEZ VIDAL	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05252				DIONISIO LÓPEZ VIDAL			10	8	                                        	
CAPS LOTEO RURAL CAPIOVICITO	LOTEO RURAL	077	010	3332	CAPIOVI	DR. LÓPEZ VIDAL DIONISIO	                         	VERDADERO 	DIONISIO LÓPEZ VIDAL	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05253				DIONISIO LÓPEZ VIDAL			10	8	                                        	
CAPS ACKERMAN CAPIOVI	VILLA ACKERMAN	077	010	3332	CAPIOVI	DR. LÓPEZ VIDAL DIONISIO	                         	VERDADERO 	DIONISIO LÓPEZ VIDAL	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05254				DIONISIO LÓPEZ VIDAL			10	8	                                        	
CAPS SAN GOTARDO	SAN GOTARDO	077	010	3332	CAPIOVI	DR. LÓPEZ VIDAL DIONISIO	                         	VERDADERO 	DIONISIO LÓPEZ VIDAL	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05255				DIONISIO LÓPEZ VIDAL			10	8	                                        	
PUESTO S. EL ALCÁZAR	EL ALCAZAR	077	020	3384	EL ALCAZAR	DR. VALENZUELA VICTOR	                         	VERDADERO 	VÍCTOR ANTONIO VALENZUELA	2006-03-01	2011-12-31	VERDADERO 	N95613	FABIO MARTINEZ	2008-03-26	2009-12-31	N05256				VÍCTOR ANTONIO VALENZUELA			10	10	                                        	
CAPS EL OMBÚ	EL OMBÚ	077	030	3334	GARUHAPE	ALBERTO ALFONSO	                         	VERDADERO 	ALBERTO ALFONSO	2007-02-19	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05257				ALBERTO ALFONSO			10	8	                                        	
CAPS GARUHAPE-MÍ	GARUHAPE-MÍ	077	030	3334	GARUHAPE	ALBERTO ALFONSO	                         	VERDADERO 	ALBERTO ALFONSO	2007-02-19	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05258				ALBERTO ALFONSO			10	8	                                        	
PUESTO S. LEONI		077	050	3332	PUERTO LEONI			FALSO     				FALSO     					N05259							10	8	                                        	
HOSPITAL DE CERRO AZUL - NIVEL I	AV. TOMAS GUIDO 990	070	040	3313	CERRO AZUL	DIAZ NELIDA CRISTINA	03754-494208             	VERDADERO 	NÉLIDA CRISTINA DÍAZ	2005-08-01	2011-12-31	FALSO     					N05260				NÉLIDA CRISTINA DÍAZ			10	7	                                        	
HOSPITAL DE CAMPO VIERA - NIVEL I	AV. DEL TE 174	091	030	3362	CAMPO VIERA	DR. CENTURIÓN FÉLIX	03755-497037             	VERDADERO 	FÉLIX DANIEL CENTURIÓN	2006-07-01	2011-12-31	VERDADERO 	N95728	HÉCTOR PROEZA	2008-03-26	2009-12-31	N05261				FÉLIX DANIEL CENTURIÓN			10	9	                                        	
HOSPITAL NIVEL I PANAMBI PUERTO	PTO PANAMBI S/N	091	090	3361	PANAMBI	SANTIAGO BERNARDO TEVELES		VERDADERO 	SANTIAGO BERNARDO TEVELEZ	2006-07-01	2011-12-31	VERDADERO 	N95728	HÉCTOR PROEZA	2008-03-26	2009-12-31	N05262				SANTIAGO BERNARDO TEVELEZ			10	9	                                        	
CAPS LOS GALPONES	LOS GALPONES	105	040	3357	SAN JAVIER	DR. LORENZO DANNY	                         	VERDADERO 	DANNY SEBASTIÁN LORENZO	2006-07-01	2010-12-31	VERDADERO 	N03174	DANNY, SEBASTIAN LORENZO	2006-07-01	2009-12-31	N05263				DANNY SEBASTIÁN LORENZO			10	7	                                        	
CAPS NIÑO JESÚS	NIÑO JESÚS	105	040	3357	SAN JAVIER	DR. LORENZO DANNY		VERDADERO 	DANNY SEBASTIÁN LORENZO	2006-07-01	2010-12-31	VERDADERO 	N03174	DANNY, SEBASTIAN LORENZO	2006-07-01	2009-12-31	N05264				DANNY SEBASTIÁN LORENZO			10	7	                                        	
CAPS SANTA IRENE	RUTA 2 A 15 KM DE SAN JAVIER	105	040	3357	SAN JAVIER	DR. LORENZO DANNY	                         	VERDADERO 	DANNY SEBASTIÁN LORENZO	2006-07-01	2010-12-31	VERDADERO 	N03174	DANNY, SEBASTIAN LORENZO	2006-07-01	2009-12-31	N05265				DANNY SEBASTIÁN LORENZO			10	7	                                        	
PUESTO S. RINCÓN LÓPEZ		105	040	3357	SAN JAVIER		                         	FALSO     				FALSO     					N05266							10	7	                                        	
CAPS RINCÓN GUERRERO	RUTA PROVINCIAL A 2 KM DE LA RUTA 2	105	040	3357	SAN JAVIER	DR. LORENZO DANNY	                         	VERDADERO 	DANNY SEBASTIÁN LORENZO	2006-07-01	2011-12-31	VERDADERO 	N03174	DANNY, SEBASTIAN LORENZO	2006-07-01	2009-12-31	N05267				DANNY SEBASTIÁN LORENZO			10	7	                                        	
CAPS LA ARROCERA	PARAJE LA ARROCERA	105	020	3353	ITACARUARE	DR. LORENZO DANNY	                         	VERDADERO 	DANNY SEBASTIÁN LORENZO	2006-07-01	2011-12-31	VERDADERO 	N03174	DANNY, SEBASTIAN LORENZO	2006-07-01	2009-12-31	N05268				DANNY SEBASTIÁN LORENZO			10	7	                                        	
CAPS INVERNADA	PARAJE INVERNADA ITACARUAR+Ë	105	020	3353	ITACARUARE	DR. LORENZO DANNY	                         	VERDADERO 	DANNY SEBASTIÁN LORENZO	2006-07-01	2011-12-31	VERDADERO 	N03174	DANNY, SEBASTIAN LORENZO	2006-07-01	2009-12-31	N05269				DANNY SEBASTIÁN LORENZO			10	7	                                        	
CAPS. PUERTO ROSARIO	PUERTO ROSARIO	105	010	3361	FLORENTINO AMHEGUINO	BEATRÍZ NORMA KAPPAUN	                         	VERDADERO 	BEATRÍZ NORMA KAPPAUN	2006-09-01	2011-12-31	VERDADERO 	N95728	HÉCTOR PROEZA	2008-03-26	2009-12-31	N05270				BEATRÍZ NORMA KAPPAUN			10	9	                                        	
CAPS AMEGHINO	COLONIA FLORENTINO - AMEGHINO S/N	105	010	3361	FLORENTINO AMHEGUINO	BEATRÍZ NORMA KAPPAUN	                         	VERDADERO 	BEATRÍZ NORMA KAPPAUN	2006-09-01	2011-12-31	VERDADERO 	N95728	HÉCTOR PROEZA	2008-03-26	2009-12-31	N05271				BEATRÍZ NORMA KAPPAUN			10	9	                                        	
CAPS MOJON GRANDE	CALLE MISIONES S/N	105	030	3315	MOJON GRANDE	DR. LORENZO DANNY	03754-497211             	VERDADERO 	DANNY SEBASTIÁN LORENZO	2006-07-01	2011-12-31	VERDADERO 	N03174	DANNY, SEBASTIAN LORENZO	2006-07-01	2009-12-31	N05272				DANNY SEBASTIÁN LORENZO			10	7	                                        	
CAPS KILÓMETRO 26	KILÓMETRO 26	070	070	3315	LEANDRO N ALEM	DR. DIEGO LUNKVIST		VERDADERO 	DIEGO LUNKUIST	2008-05-09	2011-12-31	VERDADERO 	N05170	GRACIELA MIRIN KRIEGER	2006-07-01	2009-12-31	N05273				DIEGO LUNKUIST			10	7	                                        	
CAPS CERRO LÓPEZ	CERRO LÓPEZ	070	070	3315	LEANDRO N ALEM	DR. RAIMONDO FRANCISCO		FALSO     				FALSO     					N05274							10	7	                                        	
POSTA S. SANTA ROSA	PICADA SANTA ROSA	070	070	3315	LEANDRO N ALEM	DIEGO LUNKUIST		VERDADERO 	DIEGO LUNKUIST	2006-12-27	2011-12-31	VERDADERO 	N05170	DRA. GRACIELA MIRIM KRIEGER	2006-07-01	2009-12-31	N05275				DIEGO LUNKUIST			10	7	                                        	
C.E.P. BARRIO FRIGORÍFICO		070	070	3315	LEANDRO N ALEM			FALSO     				FALSO     					N05276							10	7	                                        	
